Timestamp,Latitude,Longitude,Location,Elvation,Soil_pH,Soil_moisture,Soil_Condition,Treatment(pH)/Ton/per/acr),,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,7.8,58%,Bad,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,7.1,54%,Bad,6.4,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,7.7,42%,Bad,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,5.9,43%,Good,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,6.8,48%,Good,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,7.4,47%,Bad,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,5.9,45%,Good,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,5.9,51%,Good,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,6.2,53%,Good,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,7.1,55%,Bad,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,6,60%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,7.2,80%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6.5,55%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,7.6,52%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,5.9,56%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,4,74%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6.7,72%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6.6,71%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6.7,68%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,5.6,55%,Bad,4.6,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,7,45%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,5,52%,Bad,5.1,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6.4,56%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,5,59%,Bad,6.9,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,7.3,53%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6.6,62%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,7.3,64%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,7,63%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6.9,66%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,7.9,74%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,5,75%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6.1,73%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,7.5,72%,Bad,7.3,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,5.7,90%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,5.8,93%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6.4,91%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6,85%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,5.5,72%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6.4,66%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,5.1,63%,Bad,5.5,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,5.9,62%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,5.2,62%,Bad,6.9,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,0,62%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,7.1,64%,Bad,6.9,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,7.5,70%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6.2,71%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,7.6,76%,Bad,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6,75%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6.6,72%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,6.5,63%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,5.9,62%,Good,None,,,,,,,,,,,
9/25/2023,7.0273,80.1836,Kegalle,103m,7.1,68%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,5.3,63%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,5.8,41%,Good,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,6.9,40%,Good,6,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,6.7,48%,Good,4.2,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,6.6,46%,Good,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,6,43%,Good,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,6.2,50%,Good,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,6.1,56%,Good,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,5.9,52%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,5.9,59%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,5.8,68%,Good,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,5.9,75%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,6.5,71%,Good,4.2,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,7,76%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,6.1,62%,Good,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,5.9,12%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,6,18%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,5.4,14%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,6.6,21%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,5.9,23%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,6.5,26%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,7,45%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,5.8,35%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,6.3,65%,Good,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,6.3,76%,Good,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,0,86%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,5.5,34%,Bad,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,7.9,56%,Bad,4.2,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,5.6,68%,Bad,5.1,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,6.1,54%,Good,None,,,,,,,,,,,
9/25/2023,6.9349,80.338,Kegalle,220m,5.5,32%,Bad,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.9,35%,Bad,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.9,46%,Good,5.5,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.8,50%,Good,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.6,85%,Bad,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.8,50%,Good,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.8,45%,Good,4.6,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.5,34%,Bad,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.7,26%,Bad,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.3,45%,Bad,5.5,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.4,65%,Bad,4.2,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.9,86%,Bad,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,6,78%,Good,6,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.6,45%,Bad,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,0,67%,Bad,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.7,78%,Bad,5.1,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,6,67%,Good,5.1,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.7,65%,Bad,4.2,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,6.7,54%,Good,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,6.6,67%,Good,4.2,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.9,44%,Good,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,6.2,56%,Good,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,7,76%,Bad,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.8,45%,Good,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,6.3,76%,Good,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,6.3,65%,Good,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.8,67%,Good,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.5,89%,Bad,None,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,7.9,54%,Bad,4.2,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,5.6,66%,Bad,5.1,,,,,,,,,,,
2/5/2023,6.9497,80.7891,Kandy,500m,6.1,34%,Bad,None,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.5,24%,Bad,None,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.8,65%,Good,None,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.8,34%,Bad,3.7,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.5,78%,Bad,3.7,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.6,45%,Bad,4.2,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.8,64%,Good,5.1,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.8,57%,Good,4.6,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.5,34%,Bad,4.2,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.7,56%,Bad,3.7,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.3,56%,Bad,5.1,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.7,43%,Bad,4.2,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.2,67%,Bad,6.4,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.9,76%,Good,None,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.9,89%,Bad,None,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.9,65%,Good,None,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.1,44%,Bad,6.9,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.4,56%,Bad,5.5,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,4.9,67%,Bad,7.7,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.9,45%,Good,None,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.9,34%,Bad,None,,,,,,,,,,,
2/5/2023,7.3096,80.7104,Kandy,470m,5.9,23%,Bad,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.9,42%,Good,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.9,23%,Bad,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.9,43%,Good,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.9,26%,Bad,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.9,24%,Bad,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.9,54%,Good,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.5,34%,Bad,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,4.9,56%,Bad,7.7,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.6,55%,Bad,4.6,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.9,45%,Good,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.9,67%,Good,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.9,65%,Good,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.9,54%,Good,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.9,56%,Good,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.9,78%,Good,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.9,56%,Good,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,4.8,76%,Bad,8.3,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,5.3,67%,Bad,6,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,4,65%,Bad,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,4.1,65%,Bad,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,4.3,45%,Bad,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,4.3,43%,Bad,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,4.2,44%,Bad,None,,,,,,,,,,,
10/25/2023,7.4818,80.3609,Kurunagala,116m,4,66%,Bad,None,,,,,,,,,,,
