Date,Colombo Wholesale Price,Colombo Retail Price,Dampulla Wholesale Price,Dampulla Retail Price,Jaffna Wholesale Price,Jaffna Retail Price,Vavuniya Wholesale Price,Vavuniya Retail Price,Kilinochchi Wholesale Price,Kilinochchi Retail Price,Mullaitivu Wholesale Price,Mullaitivu Retail Price,Galle Wholesale Price,Galle Retail Price,Kandy Wholesale Price,Kandy Retail Price,Gampaha Wholesale Price,Gampaha Retail Price,Kurunegala Wholesale Price,Kurunegala Retail Price,Anuradhapura Wholesale Price,Anuradhapura Retail Price,Matara Wholesale Price,Matara Retail Price,Polonnaruwa Wholesale Price,Polonnaruwa Retail Price,Badulla Wholesale Price,Badulla Retail Price,Mannar Wholesale Price,Mannar Retail Price,Kalutara Wholesale Price,Kalutara Retail Price,Batticaloa Wholesale Price,Batticaloa Retail Price,Ratnapura Wholesale Price,Ratnapura Retail Price,Trincomalee Wholesale Price,Trincomalee Retail Price,Hambantota Wholesale Price,Hambantota Retail Price,Nuwara Eliya Wholesale Price,Nuwara Eliya Retail Price,Kegalle Wholesale Price,Kegalle Retail Price,Monaragala Wholesale Price,Monaragala Retail Price,Ampara Wholesale Price,Ampara Retail Price,Puttalam Wholesale Price,Puttalam Retail Price
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-14,-,Rs. 150,-,Rs. 90,-,Rs. 110,-,Rs. 120,-,-,-,-,-,-,-,Rs. 90,-,Rs. 170,-,Rs. 130,-,Rs. 110,-,Rs. 90,-,Rs. 90,-,Rs. 150,-,-,-,Rs. 130,-,Rs. 110,-,Rs. 115,-,Rs. 100,-,Rs. 115,-,Rs. 95,-,Rs. 110,-,Rs. 120,-,Rs. 150,-,Rs. 150
2022-03-07,Rs. 60,Rs. 105,Rs. 35,Rs. 90,Rs. 95,Rs. 110,-,Rs. 120,-,-,-,-,-,Rs. 90,Rs. 65,Rs. 90,-,Rs. 140,-,Rs. 130,-,Rs. 110,-,Rs. 100,-,Rs. 110,-,Rs. 140,-,-,-,Rs. 135,-,Rs. 110,-,Rs. 115,-,Rs. 105,Rs. 70,Rs. 105,Rs. 55,Rs. 105,-,Rs. 110,-,Rs. 130,-,Rs. 130,-,Rs. 140
2022-02-28,Rs. 55,Rs. 120,Rs. 33,Rs. 70,Rs. 83,Rs. 90,-,Rs. 120,-,-,-,-,-,Rs. 110,Rs. 55,Rs. 90,-,Rs. 140,-,Rs. 130,-,Rs. 70,-,Rs. 90,-,Rs. 110,-,Rs. 150,-,-,-,Rs. 130,-,Rs. 120,-,Rs. 135,-,Rs. 130,Rs. 65,Rs. 100,Rs. 45,Rs. 95,-,Rs. 110,-,Rs. 140,-,Rs. 120,-,Rs. 130
2022-02-21,Rs. 70,Rs. 120,Rs. 35,Rs. 90,Rs. 90,Rs. 105,-,-,-,-,-,-,-,-,Rs. 55,Rs. 90,-,Rs. 140,-,Rs. 140,-,Rs. 70,-,Rs. 125,-,Rs. 90,-,Rs. 150,-,-,-,-,-,Rs. 120,-,Rs. 120,-,Rs. 125,Rs. 70,Rs. 110,Rs. 55,Rs. 110,-,Rs. 110,-,Rs. 110,-,Rs. 150,-,Rs. 135
2022-02-14,Rs. 75,Rs. 140,Rs. 48,Rs. 110,-,-,-,-,-,-,-,-,-,-,Rs. 55,Rs. 110,-,Rs. 140,-,Rs. 130,-,Rs. 110,-,Rs. 140,-,Rs. 110,-,Rs. 150,-,-,-,Rs. 170,-,Rs. 100,-,Rs. 158,-,-,Rs. 80,Rs. 140,Rs. 65,Rs. 110,-,Rs. 130,-,-,-,Rs. 170,-,Rs. 170
2022-02-07,Rs. 75,Rs. 140,Rs. 50,Rs. 130,-,-,-,-,-,-,-,-,-,-,Rs. 80,Rs. 125,-,Rs. 140,-,Rs. 150,-,Rs. 110,-,Rs. 140,-,Rs. 115,-,Rs. 150,-,-,-,Rs. 130,-,Rs. 135,-,Rs. 110,-,-,Rs. 80,Rs. 140,Rs. 80,Rs. 130,-,Rs. 130,-,-,-,Rs. 180,-,Rs. 170
2022-01-31,Rs. 70,Rs. 130,Rs. 68,Rs. 165,-,-,-,-,-,-,-,-,-,-,Rs. 75,Rs. 150,-,Rs. 140,-,Rs. 140,-,Rs. 110,-,Rs. 140,-,Rs. 115,-,Rs. 150,-,-,-,Rs. 150,-,Rs. 110,-,Rs. 140,-,-,Rs. 70,Rs. 120,Rs. 85,Rs. 155,-,Rs. 150,-,-,-,Rs. 170,-,Rs. 170
2022-01-24,Rs. 80,Rs. 150,Rs. 85,Rs. 150,-,-,-,-,-,-,-,-,-,-,Rs. 75,Rs. 150,-,Rs. 170,-,Rs. 160,-,Rs. 150,-,Rs. 150,-,Rs. 135,-,Rs. 150,-,-,-,Rs. 130,-,Rs. 110,-,Rs. 135,-,-,Rs. 90,Rs. 140,Rs. 95,Rs. 150,-,Rs. 130,-,-,-,Rs. 170,-,Rs. 170
2022-01-17,Rs. 80,Rs. 150,Rs. 65,Rs. 160,-,-,-,-,-,-,-,-,-,-,Rs. 95,Rs. 170,-,Rs. 160,-,Rs. 180,-,Rs. 150,-,Rs. 125,-,Rs. 150,-,Rs. 155,-,Rs. 140,-,Rs. 150,-,Rs. 150,-,Rs. 155,-,-,Rs. 90,Rs. 125,Rs. 85,Rs. 145,-,Rs. 130,-,-,-,Rs. 170,-,Rs. 190
2022-01-10,Rs. 85,Rs. 150,Rs. 70,Rs. 150,-,-,-,-,-,-,-,-,-,-,Rs. 85,Rs. 170,-,Rs. 170,-,Rs. 170,-,Rs. 110,-,Rs. 125,-,Rs. 130,-,Rs. 175,-,Rs. 140,-,Rs. 170,-,Rs. 110,-,Rs. 158,-,-,Rs. 90,Rs. 125,Rs. 75,Rs. 130,-,Rs. 150,-,-,-,Rs. 180,-,Rs. 190
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-12-27,Rs. 115,Rs. 190,Rs. 113,Rs. 170,-,-,-,-,-,-,-,-,-,-,Rs. 105,Rs. 190,-,Rs. 220,-,Rs. 210,-,Rs. 150,-,Rs. 190,-,Rs. 190,-,Rs. 175,-,Rs. 210,-,Rs. 210,-,-,-,Rs. 195,-,-,Rs. 105,Rs. 145,Rs. 125,Rs. 170,-,Rs. 150,-,-,-,Rs. 170,-,Rs. 190
2021-12-20,Rs. 120,Rs. 190,Rs. 85,Rs. 150,-,-,-,-,-,-,-,-,-,-,Rs. 105,Rs. 190,-,Rs. 190,-,Rs. 180,-,Rs. 150,-,Rs. 160,-,Rs. 150,-,Rs. 175,-,Rs. 190,-,Rs. 230,-,Rs. 110,-,Rs. 155,-,-,Rs. 120,Rs. 180,Rs. 110,Rs. 155,-,Rs. 150,-,-,-,Rs. 170,-,Rs. 180
2021-12-13,Rs. 110,Rs. 190,Rs. 85,Rs. 135,-,-,-,-,-,-,-,-,-,Rs. 180,-,-,-,Rs. 190,-,Rs. 170,-,Rs. 110,-,Rs. 165,-,Rs. 150,-,Rs. 175,-,Rs. 190,-,-,-,Rs. 135,-,Rs. 150,-,-,Rs. 110,Rs. 155,Rs. 115,Rs. 150,-,Rs. 150,-,-,-,Rs. 160,-,Rs. 180
2021-12-06,-,Rs. 180,-,Rs. 150,-,-,-,-,-,-,-,-,-,Rs. 150,-,Rs. 170,-,Rs. 160,-,Rs. 170,-,Rs. 150,-,Rs. 125,-,Rs. 130,-,Rs. 180,-,Rs. 130,-,Rs. 150,-,Rs. 110,-,Rs. 150,-,-,-,Rs. 130,-,Rs. 155,-,Rs. 150,-,-,-,Rs. 190,-,Rs. 150
2021-11-29,Rs. 75,Rs. 150,Rs. 50,Rs. 110,-,-,-,-,-,-,-,-,-,-,Rs. 55,Rs. 170,-,Rs. 160,-,Rs. 140,-,Rs. 110,-,Rs. 155,-,Rs. 130,-,Rs. 140,-,-,-,Rs. 130,-,Rs. 110,-,Rs. 130,-,-,Rs. 70,Rs. 110,Rs. 105,Rs. 150,-,Rs. 150,-,-,-,Rs. 130,-,Rs. 150
2021-11-22,Rs. 80,Rs. 150,Rs. 80,Rs. 150,-,-,-,-,-,-,-,-,-,Rs. 150,Rs. 115,Rs. 150,-,Rs. 170,-,Rs. 190,-,Rs. 150,-,Rs. 140,-,Rs. 145,-,Rs. 190,-,-,-,Rs. 190,-,Rs. 120,-,Rs. 150,-,-,Rs. 90,Rs. 150,Rs. 75,Rs. 150,-,Rs. 150,-,-,-,Rs. 150,-,Rs. 150
2021-11-15,Rs. 75,Rs. 150,Rs. 85,Rs. 150,-,-,-,-,-,-,-,-,-,Rs. 150,Rs. 85,Rs. 150,-,Rs. 160,-,Rs. 140,-,Rs. 150,-,Rs. 150,-,Rs. 125,-,Rs. 140,-,Rs. 130,-,Rs. 110,-,-,-,Rs. 155,-,-,Rs. 90,Rs. 130,Rs. 75,Rs. 115,-,Rs. 150,-,-,-,Rs. 135,-,Rs. 150
2021-11-08,Rs. 65,Rs. 130,Rs. 60,Rs. 110,-,-,-,-,-,-,-,-,-,Rs. 130,Rs. 65,Rs. 110,-,Rs. 150,-,Rs. 120,-,Rs. 130,-,Rs. 170,-,Rs. 120,-,Rs. 140,-,Rs. 130,-,Rs. 110,-,Rs. 80,-,Rs. 115,-,-,Rs. 45,Rs. 100,Rs. 65,Rs. 105,-,Rs. 130,-,-,-,Rs. 150,-,Rs. 150
2021-11-01,Rs. 65,Rs. 130,Rs. 65,Rs. 110,-,-,-,-,-,-,-,-,-,Rs. 110,Rs. 65,Rs. 110,-,Rs. 150,-,Rs. 130,-,Rs. 110,-,Rs. 145,-,Rs. 115,-,Rs. 140,-,-,-,Rs. 130,-,-,-,Rs. 105,-,-,Rs. 55,Rs. 100,Rs. 68,Rs. 115,-,Rs. 110,-,-,-,Rs. 120,-,Rs. 150
2021-10-25,Rs. 70,Rs. 120,Rs. 65,Rs. 110,-,-,-,-,-,-,-,-,-,Rs. 100,Rs. 65,Rs. 130,-,Rs. 140,-,Rs. 130,-,Rs. 110,-,Rs. 95,-,Rs. 125,-,Rs. 140,-,-,-,Rs. 110,-,-,-,Rs. 120,-,-,Rs. 65,Rs. 150,Rs. 68,Rs. 115,-,Rs. 130,-,-,-,Rs. 130,-,Rs. 150
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-10-18,Rs. 65,Rs. 115,Rs. 65,Rs. 110,-,-,-,-,-,-,-,-,-,Rs. 100,Rs. 65,Rs. 130,-,Rs. 110,-,Rs. 120,-,Rs. 150,-,Rs. 100,-,Rs. 115,-,Rs. 140,-,Rs. 110,-,Rs. 110,-,Rs. 80,-,Rs. 100,-,-,Rs. 55,Rs. 70,Rs. 73,Rs. 110,-,Rs. 110,-,-,-,Rs. 110,-,Rs. 150
2021-10-11,Rs. 60,Rs. 150,Rs. 65,Rs. 110,-,-,-,-,-,-,-,-,-,Rs. 100,Rs. 65,Rs. 115,-,Rs. 120,-,Rs. 110,-,Rs. 110,-,Rs. 150,-,Rs. 130,-,-,-,Rs. 110,-,Rs. 110,-,-,-,Rs. 100,-,-,Rs. 55,Rs. 90,Rs. 75,Rs. 120,-,Rs. 110,-,-,-,Rs. 120,-,Rs. 115
2021-10-04,Rs. 45,Rs. 90,Rs. 33,Rs. 90,-,-,-,-,-,-,-,-,-,Rs. 100,Rs. 55,Rs. 90,-,Rs. 100,-,Rs. 110,-,Rs. 70,-,Rs. 65,-,Rs. 80,-,Rs. 110,-,Rs. 110,-,Rs. 110,-,Rs. 90,-,-,-,-,Rs. 53,Rs. 70,Rs. 55,Rs. 85,-,Rs. 95,-,-,-,Rs. 110,-,Rs. 110
2021-09-27,Rs. 25,Rs. 100,Rs. 28,Rs. 70,-,-,-,-,-,-,-,-,-,Rs. 90,Rs. 30,-,-,-,-,Rs. 110,-,Rs. 70,-,Rs. 75,-,Rs. 60,-,Rs. 110,-,-,-,Rs. 90,-,Rs. 100,-,Rs. 110,-,-,Rs. 25,Rs. 70,Rs. 38,Rs. 70,-,Rs. 110,-,-,-,Rs. 110,-,-
2021-09-20,Rs. 25,Rs. 85,Rs. 25,Rs. 70,-,-,-,-,-,-,-,-,-,Rs. 100,Rs. 25,-,-,-,-,Rs. 100,-,Rs. 75,-,Rs. 65,-,Rs. 60,-,Rs. 110,-,-,-,Rs. 110,-,-,-,Rs. 120,-,-,Rs. 25,Rs. 70,Rs. 33,Rs. 70,-,Rs. 110,-,-,-,Rs. 110,-,-
2021-09-13,Rs. 18,Rs. 80,Rs. 28,Rs. 70,-,-,-,-,-,-,-,-,-,Rs. 100,Rs. 25,-,-,-,-,Rs. 120,-,Rs. 75,-,Rs. 65,-,-,-,Rs. 110,-,-,-,Rs. 90,-,-,-,-,-,-,Rs. 25,Rs. 50,Rs. 33,Rs. 55,-,Rs. 110,-,-,-,Rs. 110,-,-
2021-09-06,-,Rs. 100,-,-,-,-,-,-,-,-,-,-,-,Rs. 100,-,-,-,-,-,Rs. 120,-,Rs. 75,-,Rs. 90,-,-,-,Rs. 110,-,-,-,Rs. 90,-,-,-,-,-,-,-,Rs. 65,-,Rs. 55,-,-,-,-,-,Rs. 110,-,-
2021-08-30,Rs. 30,Rs. 100,Rs. 20,-,-,-,-,-,-,-,-,-,-,-,Rs. 35,-,-,-,-,Rs. 90,-,Rs. 55,-,-,-,Rs. 90,-,Rs. 90,-,-,-,Rs. 110,-,-,-,-,-,-,-,Rs. 60,Rs. 33,Rs. 70,-,-,-,-,-,-,-,-
2021-08-16,Rs. 38,Rs. 95,Rs. 33,Rs. 90,-,-,-,-,-,-,-,-,-,Rs. 90,Rs. 35,Rs. 70,-,-,-,Rs. 85,-,Rs. 90,-,Rs. 75,-,Rs. 80,-,Rs. 90,-,-,-,Rs. 110,-,Rs. 80,-,-,-,-,Rs. 40,Rs. 80,Rs. 33,Rs. 70,-,Rs. 90,-,-,-,Rs. 130,-,Rs. 110
2021-08-09,Rs. 38,Rs. 85,Rs. 45,Rs. 110,-,-,-,-,-,Rs. 115,-,-,-,Rs. 120,Rs. 53,Rs. 110,-,Rs. 130,-,Rs. 88,-,Rs. 90,-,Rs. 90,-,Rs. 80,-,Rs. 110,-,-,-,Rs. 110,-,Rs. 90,-,Rs. 135,-,-,Rs. 45,Rs. 70,Rs. 38,Rs. 95,-,Rs. 130,-,-,-,Rs. 130,-,Rs. 120
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-08-02,Rs. 55,Rs. 120,Rs. 45,Rs. 110,-,-,-,-,-,Rs. 120,-,-,-,Rs. 120,Rs. 48,Rs. 110,-,Rs. 120,-,Rs. 130,-,Rs. 110,-,Rs. 130,-,Rs. 80,-,Rs. 140,-,-,-,Rs. 120,-,Rs. 80,-,Rs. 140,-,-,Rs. 70,Rs. 105,Rs. 48,Rs. 110,-,Rs. 130,-,-,-,Rs. 120,-,Rs. 115
2021-07-26,Rs. 90,Rs. 130,Rs. 55,Rs. 125,-,-,-,-,-,Rs. 115,-,-,-,Rs. 130,Rs. 83,Rs. 130,-,Rs. 140,-,Rs. 120,-,Rs. 150,-,Rs. 145,-,Rs. 150,-,Rs. 180,-,-,-,Rs. 150,-,Rs. 110,-,Rs. 160,-,-,Rs. 70,Rs. 110,Rs. 65,Rs. 130,-,Rs. 130,-,-,-,Rs. 150,-,Rs. 120
2021-07-19,Rs. 90,Rs. 150,Rs. 75,Rs. 130,-,-,-,-,-,Rs. 105,-,-,-,Rs. 130,Rs. 85,Rs. 130,-,Rs. 150,-,Rs. 150,-,Rs. 150,-,Rs. 130,-,Rs. 130,-,Rs. 160,-,-,-,Rs. 130,-,-,-,Rs. 155,-,-,Rs. 70,Rs. 140,Rs. 75,Rs. 145,-,Rs. 150,-,-,-,Rs. 130,-,Rs. 170
2021-07-12,Rs. 85,Rs. 130,Rs. 85,Rs. 130,-,-,-,-,-,Rs. 125,-,-,-,Rs. 130,Rs. 75,Rs. 130,-,Rs. 150,-,Rs. 150,-,Rs. 130,-,Rs. 130,-,Rs. 130,-,Rs. 160,-,-,-,Rs. 168,-,Rs. 140,-,Rs. 145,-,-,Rs. 80,Rs. 110,Rs. 75,Rs. 145,-,Rs. 130,-,-,-,Rs. 150,-,Rs. 130
2021-07-05,Rs. 90,Rs. 150,Rs. 93,Rs. 135,-,-,-,-,-,Rs. 120,-,-,-,Rs. 130,Rs. 75,Rs. 130,-,Rs. 140,-,Rs. 150,-,Rs. 150,-,Rs. 145,-,Rs. 130,-,Rs. 160,-,-,-,Rs. 168,-,-,-,Rs. 160,-,-,Rs. 55,Rs. 110,Rs. 65,Rs. 130,-,Rs. 130,-,-,-,Rs. 130,-,Rs. 130
2021-06-28,Rs. 85,Rs. 140,Rs. 75,Rs. 125,-,-,-,-,-,Rs. 120,-,-,-,Rs. 120,Rs. 65,Rs. 110,-,Rs. 140,-,Rs. 140,-,Rs. 170,-,Rs. 125,-,Rs. 150,-,Rs. 180,-,-,-,Rs. 168,-,Rs. 95,-,Rs. 95,-,-,Rs. 70,Rs. 110,Rs. 75,Rs. 130,-,Rs. 130,-,-,-,Rs. 130,-,Rs. 135
2021-05-17,Rs. 40,Rs. 110,-,-,-,-,-,-,-,Rs. 75,-,-,-,Rs. 100,Rs. 43,Rs. 75,-,Rs. 100,-,Rs. 90,-,-,-,Rs. 85,-,Rs. 90,-,Rs. 110,-,-,-,Rs. 90,-,Rs. 90,-,Rs. 115,-,-,Rs. 35,Rs. 70,Rs. 38,Rs. 55,-,Rs. 85,-,-,-,Rs. 110,-,Rs. 110
2021-05-10,Rs. 33,Rs. 90,-,-,-,-,-,-,-,Rs. 85,-,-,-,Rs. 100,Rs. 25,Rs. 65,-,Rs. 100,-,Rs. 85,-,Rs. 90,-,Rs. 85,-,Rs. 90,-,Rs. 110,-,-,-,Rs. 110,-,Rs. 90,-,-,-,-,-,-,Rs. 33,Rs. 70,-,Rs. 90,-,-,-,Rs. 110,-,Rs. 90
2021-05-03,Rs. 38,Rs. 90,-,-,-,-,-,-,-,Rs. 85,-,Rs. 80,-,Rs. 120,Rs. 33,Rs. 65,-,Rs. 110,-,Rs. 90,-,Rs. 90,-,Rs. 65,-,Rs. 90,-,Rs. 140,-,-,-,Rs. 130,-,Rs. 90,-,Rs. 105,-,-,Rs. 25,Rs. 50,Rs. 33,Rs. 70,-,Rs. 90,-,-,-,Rs. 110,-,Rs. 90
2021-04-26,Rs. 35,Rs. 180,Rs. 35,Rs. 125,-,-,-,-,-,-,-,-,-,Rs. 150,Rs. 35,Rs. 150,-,Rs. 15,-,Rs. 110,-,-,-,Rs. 110,-,Rs. 145,-,Rs. 140,-,-,-,-,-,-,-,Rs. 120,-,-,Rs. 35,-,Rs. 48,Rs. 155,-,Rs. 130,-,-,-,Rs. 160,-,-
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-19,Rs. 40,Rs. 105,Rs. 25,Rs. 70,-,-,-,-,-,-,-,Rs. 70,-,-,Rs. 45,Rs. 65,-,Rs. 120,-,Rs. 80,-,Rs. 80,-,Rs. 80,-,Rs. 85,-,Rs. 110,-,-,-,Rs. 160,-,Rs. 75,-,Rs. 110,-,-,Rs. 25,Rs. 85,Rs. 35,Rs. 55,-,Rs. 80,-,-,-,Rs. 130,-,Rs. 110
2021-04-05,Rs. 30,Rs. 100,Rs. 23,Rs. 70,-,-,-,-,-,-,-,-,-,Rs. 70,Rs. 28,Rs. 65,-,Rs. 110,-,Rs. 80,-,-,-,Rs. 80,-,Rs. 70,-,Rs. 90,-,-,-,-,-,-,-,Rs. 90,-,-,-,-,Rs. 30,Rs. 55,-,Rs. 75,-,-,-,Rs. 100,-,-
2021-03-29,Rs. 20,Rs. 80,Rs. 13,Rs. 55,-,-,-,-,-,-,-,-,-,Rs. 70,Rs. 28,Rs. 75,-,Rs. 120,-,Rs. 75,-,-,-,Rs. 85,-,Rs. 70,-,Rs. 80,-,-,-,-,-,-,-,Rs. 85,-,-,-,-,Rs. 23,Rs. 55,-,Rs. 90,-,-,-,Rs. 110,-,-
2021-03-22,Rs. 30,Rs. 85,Rs. 18,Rs. 70,-,Rs. 123,-,-,-,-,-,-,-,Rs. 80,Rs. 35,Rs. 75,-,Rs. 100,-,Rs. 90,-,-,-,Rs. 75,-,Rs. 70,-,Rs. 90,-,-,-,-,-,-,-,Rs. 100,-,-,-,-,Rs. 33,Rs. 55,-,Rs. 80,-,-,-,Rs. 100,-,-
2021-03-15,Rs. 35,Rs. 90,Rs. 19,Rs. 70,Rs. 58,Rs. 85,-,-,-,-,-,-,-,Rs. 90,Rs. 35,Rs. 75,-,Rs. 110,-,Rs. 90,-,-,-,Rs. 55,-,Rs. 70,-,Rs. 90,-,-,-,-,-,-,-,Rs. 100,-,-,-,-,Rs. 28,Rs. 55,-,Rs. 90,-,-,-,Rs. 110,-,-
2021-03-08,Rs. 40,Rs. 90,Rs. 33,Rs. 90,-,Rs. 120,-,-,-,-,-,-,-,Rs. 80,Rs. 45,Rs. 90,-,Rs. 100,-,Rs. 90,-,-,-,Rs. 55,-,Rs. 75,-,Rs. 90,-,Rs. 90,-,-,-,-,-,Rs. 100,-,-,-,-,Rs. 38,Rs. 70,-,Rs. 90,-,-,-,Rs. 110,-,-
2021-03-01,Rs. 35,Rs. 100,Rs. 33,Rs. 90,-,-,-,-,-,-,-,-,-,Rs. 80,Rs. 55,Rs. 90,-,Rs. 100,-,Rs. 90,-,-,-,-,-,Rs. 70,-,Rs. 80,-,Rs. 90,-,-,-,-,-,Rs. 105,-,-,-,-,Rs. 33,Rs. 70,-,Rs. 80,-,-,-,Rs. 110,-,-
2021-02-22,Rs. 30,Rs. 105,Rs. 28,Rs. 90,-,-,-,-,-,-,-,-,-,Rs. 80,Rs. 35,Rs. 70,-,-,-,Rs. 100,-,-,-,-,-,Rs. 70,-,Rs. 70,-,-,-,-,-,-,-,Rs. 120,-,-,-,-,Rs. 35,Rs. 70,-,Rs. 90,-,-,-,Rs. 110,-,-
2021-02-15,Rs. 30,Rs. 140,Rs. 33,Rs. 90,-,-,-,-,-,-,-,-,-,Rs. 90,Rs. 35,Rs. 70,-,-,-,Rs. 90,-,-,-,-,-,Rs. 70,-,Rs. 70,-,-,-,-,-,-,-,Rs. 120,-,-,-,-,Rs. 55,Rs. 95,-,Rs. 90,-,-,-,Rs. 150,-,-
2021-02-08,Rs. 30,Rs. 120,Rs. 30,Rs. 90,-,-,-,-,-,-,-,-,-,Rs. 110,Rs. 33,Rs. 75,-,-,-,Rs. 70,-,-,-,-,-,Rs. 70,-,Rs. 110,-,-,-,-,-,-,-,Rs. 100,-,-,-,-,Rs. 50,Rs. 95,-,Rs. 90,-,-,-,Rs. 140,-,-
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-01,Rs. 80,Rs. 150,Rs. 45,Rs. 110,-,-,-,-,-,-,-,-,-,Rs. 110,Rs. 50,Rs. 90,-,Rs. 150,-,Rs. 120,-,-,-,-,-,Rs. 145,-,-,-,-,-,-,-,-,-,Rs. 125,-,-,-,-,Rs. 75,Rs. 145,-,Rs. 110,-,-,-,Rs. 150,-,-
2021-01-25,Rs. 80,Rs. 160,Rs. 60,Rs. 130,-,-,-,-,-,-,-,-,-,Rs. 130,Rs. 75,Rs. 130,-,Rs. 150,-,Rs. 130,-,-,-,Rs. 130,-,Rs. 120,-,Rs. 160,-,-,-,-,-,-,-,Rs. 115,-,-,-,-,Rs. 95,Rs. 155,-,Rs. 130,-,-,-,Rs. 155,-,-
2021-01-11,Rs. 90,-,Rs. 240,-,-,-,-,-,-,-,-,-,-,-,Rs. 75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-10-05,Rs. 40,Rs. 110,Rs. 26,Rs. 70,-,-,-,-,-,-,-,-,-,Rs. 90,Rs. 43,Rs. 75,-,-,-,-,-,-,-,Rs. 70,-,-,-,-,-,-,-,-,-,-,-,Rs. 95,-,-,-,-,Rs. 40,Rs. 75,-,Rs. 85,-,-,-,-,-,-
2020-09-28,Rs. 45,Rs. 120,Rs. 33,Rs. 70,-,-,-,-,-,-,-,-,-,Rs. 90,Rs. 38,Rs. 75,-,-,-,-,-,-,-,Rs. 90,-,-,-,-,-,-,-,-,-,-,-,Rs. 90,-,-,-,-,Rs. 40,Rs. 70,-,Rs. 85,-,-,-,-,-,-
2020-09-21,Rs. 45,Rs. 120,Rs. 33,Rs. 70,-,-,-,-,-,-,-,-,-,Rs. 90,Rs. 38,Rs. 75,-,-,-,-,-,-,-,Rs. 90,-,-,-,-,-,-,-,-,-,-,-,Rs. 90,-,-,-,-,Rs. 40,Rs. 70,-,Rs. 85,-,-,-,-,-,-
2020-09-14,Rs. 45,Rs. 100,Rs. 30,Rs. 90,-,-,-,-,-,-,-,-,-,-,Rs. 38,Rs. 75,-,-,-,-,-,-,-,Rs. 110,-,-,-,-,-,-,-,-,-,-,-,Rs. 90,-,-,-,-,Rs. 40,Rs. 70,-,Rs. 85,-,-,-,-,-,-
2020-09-07,Rs. 50,Rs. 100,Rs. 25,Rs. 90,-,-,-,-,-,-,-,-,-,-,Rs. 45,Rs. 90,-,-,-,-,-,-,-,Rs. 90,-,-,-,-,-,-,-,-,-,-,-,Rs. 95,-,-,-,-,Rs. 45,Rs. 70,-,Rs. 85,-,-,-,-,-,-
